grid,positionText,position_quali,sma_position,avg_pos_move
14,4,14,8.4,
12,4,12,8.2,
16,4,16,10.0,
18,4,18,15.2,
1,3,1,2.8,
2,1,2,2.6,
4,2,4,3.0,
5,2,5,4.2,
9,3,9,8.2,
17,4,17,10.0,
7,3,7,7.0,
15,4,15,13.4,
11,3,11,5.6,
19,3,19,15.4,
17,4,17,10.0,
14,0,9,5.0,
6,1,6,2.4,
9,2,10,7.0,
2,1,2,2.4,
3,0,3,2.6,
15,4,15,8.2,
4,0,4,1.0,
12,3,13,7.0,
13,3,14,12.5,
18,4,18,10.6,
10,3,11,13.6,
1,2,1,3.4,
7,0,7,8.2,
8,1,8,9.8,
20,0,20,8.2,
5,0,5,3.2,
11,0,12,7.5,
16,3,16,10.2,
13,0,13,6.6,
18,4,19,12.2,
3,2,3,3.6,
17,4,17,9.8,
12,0,12,6.8,
20,4,20,14.8,
4,0,4,1.6,
7,3,7,6.8,
1,1,1,2.2,
16,0,16,3.8,
9,3,9,8.4,
19,4,18,8.8,
6,2,6,2.0,
15,3,15,10.2,
14,3,14,12.0,
8,3,8,6.8,
10,0,10,6.0,
11,0,11,7.8,
2,1,2,2.8,
5,1,5,2.8,
1,1,1,1.4,
7,0,7,5.8,
18,4,15,9.0,
5,2,5,2.2,
20,3,20,3.4,
9,4,9,10.4,
14,0,14,9.4,
6,3,6,5.4,
12,4,12,8.8,
8,3,8,8.4,
11,3,11,4.0,
4,2,4,1.8,
19,4,19,9.4,
3,1,3,2.4,
10,3,10,8.2,
15,0,16,11.8,
16,4,17,12.0,
17,4,18,12.8,
2,1,2,3.8,
13,4,13,12.0,
1,1,1,3.8,
10,4,10,10.0,
17,0,17,10.0,
15,4,15,10.4,
5,3,5,3.0,
20,4,20,8.8,
3,1,3,4.0,
14,0,14,4.4,
6,2,6,2.2,
13,3,13,9.0,
8,3,8,5.2,
19,4,19,13.2,
4,2,4,2.8,
18,4,18,12.4,
12,0,12,8.4,
16,4,16,9.6,
9,3,9,7.8,
2,1,2,2.2,
7,3,7,4.2,
11,4,11,11.0,
4,1,4,3.4,
10,4,10,7.6,
13,0,13,7.6,
1,1,1,2.2,
11,0,11,3.0,
8,3,8,7.2,
5,2,5,2.8,
16,4,16,6.2,
20,4,17,7.2,
14,0,14,6.0,
2,3,2,3.2,
18,4,19,12.4,
7,3,7,7.6,
6,1,6,3.0,
12,3,12,4.8,
3,2,3,3.2,
19,4,20,10.6,
9,3,9,10.2,
15,4,15,12.6,
17,4,18,10.2,
18,3,13,7.8,
11,3,11,4.2,
6,1,3,3.0,
2,0,2,2.0,
14,4,15,11.8,
15,4,16,11.4,
4,1,5,3.6,
16,3,17,8.4,
3,1,4,3.0,
8,2,8,8.6,
20,3,20,12.4,
12,4,12,5.8,
19,0,19,5.2,
1,0,1,3.2,
17,4,18,15.0,
9,4,9,9.0,
10,0,10,4.8,
5,2,6,8.4,
13,3,14,6.4,
7,0,7,2.8,
18,4,18,15.0,
11,3,11,6.0,
15,0,15,9.8,
10,3,10,5.6,
19,4,19,12.0,
16,0,16,7.6,
9,0,9,5.8,
7,3,7,9.2,
6,2,6,2.8,
5,0,5,3.0,
8,0,8,8.4,
3,1,3,3.6,
17,4,17,13.6,
0,0,20,2.8,
12,3,12,8.6,
13,3,13,6.4,
2,1,2,2.4,
1,1,1,2.2,
14,4,14,8.4,
4,2,4,3.6,
19,4,20,13.4,
17,3,18,4.8,
4,2,4,2.0,
6,3,6,6.6,
14,1,14,1.8,
5,4,5,8.8,
13,3,13,9.4,
8,4,8,8.0,
1,0,1,2.0,
9,4,9,8.8,
10,3,10,7.6,
18,0,19,8.6,
20,0,15,2.6,
3,1,3,3.4,
15,3,16,6.0,
7,2,7,5.4,
2,1,2,3.0,
11,4,11,9.6,
16,4,17,9.8,
12,0,12,11.8,
20,4,20,11.6,
18,4,18,6.8,
11,3,11,11.2,
1,1,1,1.0,
3,1,3,2.8,
6,3,6,8.8,
2,2,2,3.6,
13,4,13,6.4,
12,2,12,2.6,
4,1,4,2.2,
16,0,16,10.2,
8,4,8,7.0,
7,0,7,1.4,
17,0,17,6.8,
19,4,19,7.6,
10,3,10,6.2,
15,4,15,12.0,
14,4,14,9.4,
9,3,9,7.6,
5,3,5,8.2,
11,4,12,7.0,
10,3,11,10.6,
19,2,10,3.0,
20,0,15,4.6,
8,0,8,1.8,
7,1,7,1.6,
4,2,4,8.6,
15,0,17,8.0,
3,3,3,8.0,
1,1,1,1.2,
13,3,14,8.8,
16,4,18,11.0,
14,4,16,8.8,
18,4,20,10.8,
9,3,9,8.0,
2,1,2,1.4,
6,0,6,2.2,
17,4,19,11.2,
12,0,13,4.8,
5,3,5,5.4,
18,4,19,9.8,
8,3,8,8.0,
12,3,12,10.4,
3,1,3,1.4,
20,4,14,7.2,
9,4,9,11.2,
13,0,13,6.4,
5,2,5,2.4,
19,0,15,1.8,
14,3,16,8.6,
16,0,18,7.0,
4,1,4,3.6,
6,0,6,4.6,
1,1,1,2.2,
11,4,11,10.2,
15,4,17,5.2,
10,3,10,10.2,
2,2,2,1.6,
17,4,20,10.2,
7,3,7,8.0,
1,1,1,1.2,
10,3,10,8.0,
6,3,6,2.0,
7,4,7,9.8,
8,4,8,7.6,
18,4,18,10.4,
14,4,14,12.0,
9,0,9,6.6,
12,3,12,9.6,
3,1,3,2.0,
17,4,17,10.4,
11,3,11,6.2,
2,1,2,2.8,
4,2,4,3.6,
5,2,5,2.6,
20,4,20,10.6,
16,4,16,12.0,
15,4,15,11.2,
19,4,19,11.4,
13,3,13,7.0,
14,4,20,13.6,
1,1,1,3.6,
3,1,3,2.6,
11,4,14,10.6,
8,3,8,10.4,
6,3,6,6.8,
15,4,19,11.0,
10,4,10,12.8,
9,4,9,8.6,
18,3,12,3.2,
12,4,15,9.4,
2,1,2,1.2,
4,2,4,2.8,
20,0,16,8.4,
17,0,13,8.4,
19,2,11,3.0,
16,4,17,5.8,
7,3,7,5.4,
13,4,18,15.0,
5,3,5,11.4,
10,0,11,5.4,
17,4,17,15.0,
12,0,12,10.0,
7,4,7,9.4,
18,4,18,7.0,
4,2,4,3.2,
2,1,2,3.0,
3,1,3,3.6,
9,3,10,9.0,
11,3,8,6.0,
20,4,20,12.2,
19,4,19,14.0,
6,4,6,8.8,
8,3,9,3.4,
13,3,13,10.8,
14,4,14,13.6,
16,0,16,7.0,
5,3,5,8.2,
1,1,1,1.2,
15,2,15,3.2,
11,3,11,10.0,
15,4,18,13.8,
5,2,2,4.0,
10,3,10,9.6,
14,4,17,15.2,
12,0,12,8.4,
19,4,13,10.0,
18,1,15,3.4,
9,0,9,5.4,
7,3,7,8.2,
1,1,1,1.4,
8,0,8,6.8,
17,4,20,13.2,
4,0,5,3.2,
16,3,19,12.2,
6,0,6,4.8,
3,2,4,3.2,
2,1,3,3.4,
13,0,16,7.0,
20,3,14,7.8,
18,4,16,10.0,
13,0,13,8.2,
7,3,7,6.8,
3,2,3,2.0,
1,0,1,3.2,
19,4,20,15.8,
16,4,18,8.2,
14,4,14,10.6,
6,1,6,3.6,
5,2,5,3.6,
15,3,17,12.4,
11,4,11,5.8,
8,0,8,8.4,
10,3,10,11.0,
4,1,4,3.6,
17,4,19,14.4,
12,0,12,7.0,
20,3,15,9.2,
9,3,9,4.6,
2,1,2,2.6,
19,4,19,15.2,
18,4,13,8.8,
20,4,20,12.8,
12,3,12,7.0,
8,3,9,8.6,
13,0,14,4.8,
2,3,2,4.2,
15,4,16,9.2,
6,0,7,8.8,
11,2,6,2.8,
4,1,4,3.2,
9,4,10,9.2,
16,4,17,9.4,
17,4,18,9.0,
3,2,3,3.8,
7,3,8,4.2,
14,4,15,15.2,
10,3,11,6.4,
5,1,5,2.6,
1,1,1,2.0,
11,3,11,7.0,
14,3,14,6.6,
10,0,10,2.4,3.0384615384615383
18,4,18,12.4,
7,3,7,8.2,
9,0,9,7.0,19.0
12,0,12,6.2,1.6153846153846154
5,2,5,2.4,
3,1,3,4.0,
20,4,20,14.8,
8,3,8,4.2,
17,0,17,9.2,
4,0,4,2.4,
2,2,2,4.4,
13,3,13,6.8,1.7865168539325842
19,4,19,14.6,
15,4,15,8.4,
16,4,16,11.8,
6,1,6,2.2,
1,1,1,2.0,
14,4,14,9.0,2.579310344827586
9,3,9,3.0,2.3333333333333335
20,4,20,17.0,
6,0,6,6.6,6.0
15,3,15,8.8,
16,3,16,13.2,3.3773584905660377
12,0,12,1.6,4.888888888888889
18,0,18,5.0,
10,4,10,7.8,2.0482758620689654
11,3,11,3.8,
19,4,19,16.0,
3,2,3,3.6,
5,2,5,5.2,0.9586206896551724
8,4,8,12.0,
7,3,7,8.0,
2,1,2,4.2,
17,4,17,9.2,6.048780487804878
1,1,1,2.2,
4,1,4,2.2,
13,4,13,14.0,
12,3,12,11.5,1.0769230769230769
3,1,3,1.8,5.487804878048781
5,2,5,2.6,2.2459016393442623
16,4,16,9.5,2.525
6,4,6,10.6,0.5
1,1,1,5.8,3.861111111111111
13,3,13,8.4,3.5714285714285716
4,1,4,3.6,3.153225806451613
9,3,10,9.0,6.2
19,4,19,15.5,2.3484848484848486
17,0,17,2.6,2.3488372093023258
8,3,9,4.2,1.832
10,0,11,1.6,3.2954545454545454
11,0,8,6.6,1.3181818181818181
20,4,20,16.5,5.545454545454546
7,0,7,3.6,0.5454545454545454
15,4,15,8.8,3.7704918032786887
18,4,18,13.2,1.0
2,2,2,3.8,1.7286821705426356
14,3,14,8.2,2.0865384615384617
12,3,12,9.8,
3,1,3,4.0,
16,4,16,13.2,
17,4,17,15.666666666666666,
13,3,13,5.4,
6,3,6,7.6,
4,2,4,5.4,
11,0,11,6.4,
10,4,10,5.6,
8,0,8,1.4,
15,4,15,12.0,
7,3,7,3.0,
18,4,18,16.666666666666668,
14,4,14,6.4,
1,1,1,3.0,1.6
9,4,9,10.2,
2,1,2,1.2,4.318181818181818
5,2,5,3.2,
