grid,positionText,last_1,last_2,avg_position_real
11,3,4,4,9.94059405940594
16,4,4,0,8.8
15,4,2,3,7.205882352941177
3,2,0,1,4.203252032520325
6,3,3,3,5.739837398373984
13,3,1,2,2.819672131147541
8,3,3,0,9.428571428571429
14,3,4,3,8.368421052631579
2,1,1,1,6.297520661157025
5,1,1,0,6.016260162601626
1,1,0,1,7.787878787878788
1,1,3,1,2.819672131147541
17,3,4,4,9.688524590163935
15,4,4,4,8.8
14,3,3,3,9.428571428571429
19,4,0,4,9.975609756097562
16,4,0,0,9.78048780487805
20,4,0,3,11.555555555555555
18,4,3,4,9.94059405940594
10,3,0,3,7.059701492537314
4,3,1,0,7.787878787878788
9,3,4,2,7.205882352941177
8,2,4,2,6.8264462809917354
2,2,1,1,6.297520661157025
6,1,1,1,6.016260162601626
3,1,2,0,4.203252032520325
12,4,4,0,7.190476190476191
11,0,4,3,9.320754716981131
5,0,2,0,2.4715447154471546
7,0,3,4,8.368421052631579
13,0,3,3,5.739837398373984
18,4,4,0,9.78048780487805
11,0,0,4,9.320754716981131
5,0,0,2,2.4715447154471546
4,2,2,1,6.297520661157025
15,3,0,3,5.739837398373984
17,4,4,0,9.975609756097562
14,3,4,0,11.555555555555555
19,3,4,4,7.190476190476191
7,3,3,4,7.205882352941177
12,3,4,3,9.94059405940594
1,2,1,3,2.819672131147541
16,4,3,3,9.428571428571429
10,1,1,1,6.016260162601626
2,1,1,2,4.203252032520325
8,1,3,4,9.688524590163935
13,0,3,0,7.059701492537314
9,0,0,3,8.368421052631579
6,0,2,4,6.8264462809917354
3,4,3,1,7.787878787878788
2,1,2,2,6.297520661157025
1,1,1,1,4.203252032520325
9,3,3,3,7.205882352941177
7,3,0,2,6.8264462809917354
6,3,4,3,9.428571428571429
3,2,4,3,7.787878787878788
8,2,2,1,2.819672131147541
4,1,1,1,6.016260162601626
17,3,0,0,8.368421052631579
18,3,1,3,9.688524590163935
16,4,4,4,8.8
13,4,4,4,9.78048780487805
11,4,0,3,7.059701492537314
20,4,3,4,11.555555555555555
19,4,4,4,9.975609756097562
14,4,0,0,9.320754716981131
10,0,3,0,5.739837398373984
12,0,3,4,7.190476190476191
5,0,0,0,2.4715447154471546
15,0,3,4,9.94059405940594
9,1,1,1,4.203252032520325
