grid,positionText,current_points,current_wins,last_1,last_2,last_3,last_4,last_5,rolling_avg_pos_move_5,avg_position_real_rolling_5,propensity_1,propensity_0,sma_3
18,1,117.0,0,1,1,1,0,1,4.8,13.0,1.0,0.0,13.0
1,1,177.0,4,0,0,1,0,1,1.2,3.6,0.5555555555555556,0.4444444444444444,3.3333333333333335
6,0,23.0,0,0,0,0,1,0,0.8,7.0,0.125,0.875,8.333333333333334
9,1,176.0,2,1,1,1,0,0,0.4,2.0,0.75,0.25,1.6666666666666667
2,1,154.0,0,0,1,0,1,0,-3.6,6.2,0.375,0.625,8.666666666666666
16,1,2.0,0,0,0,1,1,1,1.8,11.2,0.6666666666666666,0.3333333333333333,9.666666666666666
1,1,0.0,4,0,1,0,0,1,-1.0,3.6,0.7,0.3,4.333333333333333
20,1,117.0,0,1,1,1,1,0,5.0,12.8,1.0,0.0,13.333333333333334
12,1,45.0,0,0,1,0,0,0,1.2,8.2,0.375,0.625,9.0
17,1,11.0,0,1,1,1,0,1,4.4,10.6,0.8571428571428571,0.14285714285714285,9.666666666666666
16,1,35.0,0,1,1,0,0,1,0.0,13.2,0.7142857142857143,0.2857142857142857,15.0
2,1,169.0,0,1,0,1,0,1,-3.6,6.2,0.4444444444444444,0.5555555555555556,7.333333333333333
4,0,202.0,4,1,0,0,1,0,1.2,3.6,0.6,0.4,3.3333333333333335
15,1,10.0,0,1,0,0,1,1,2.6,11.0,0.7142857142857143,0.2857142857142857,10.333333333333334
9,0,56.0,0,0,0,0,0,0,4.0,7.6,0.16666666666666666,0.8333333333333334,7.0
11,0,4.0,0,0,0,0,0,1,1.4,8.0,0.4,0.6,7.333333333333333
18,1,18.0,0,1,1,1,1,0,4.4,12.8,0.8571428571428571,0.14285714285714285,13.666666666666666
13,0,23.0,0,0,0,0,0,1,-0.4,7.6,0.1111111111111111,0.8888888888888888,7.0
3,1,188.0,2,1,1,1,1,0,1.4,2.2,0.7777777777777778,0.2222222222222222,1.6666666666666667
8,1,0.0,0,1,1,1,1,0,2.4,12.6,1.0,0.0,11.666666666666666
10,1,0.0,0,0,1,0,1,1,2.6,12.2,1.0,0.0,11.0
7,0,1.0,0,0,0,0,1,1,,,0.75,0.25,12.333333333333334
5,0,116.0,0,0,0,0,0,0,2.8,4.4,0.2,0.8,4.666666666666667
2,1,0.0,4,1,0,1,0,0,-1.2,3.6,0.7272727272727273,0.2727272727272727,3.3333333333333335
19,1,36.0,0,1,1,1,0,0,1.0,13.0,0.75,0.25,14.0
15,1,11.0,0,1,1,1,1,0,4.6,10.4,0.875,0.125,13.333333333333334
17,1,132.0,0,1,1,1,1,1,4.8,13.8,1.0,0.0,15.0
