grid,positionText,current_points,current_wins,last_1,last_2,last_3,last_4,last_5,last_6,last_7,last_8,last_9,last_10,rolling_avg_pos_move_10,propensity_1,propensity_0
4,0,333.0,2,0,0,0,0,0,0,0,0,1,0,1.0,0.125,0.875
18,0,13.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
2,1,178.0,2,0,0,1,0,0,0,0,0,0,0,3.3,0.1,0.9
15,0,8.0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.0,1.0
6,0,5.0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0,1.0
14,0,11.0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.0,1.0
1,0,0.0,4,0,0,0,0,0,0,1,0,0,0,1.4,0.26666666666666666,0.7333333333333333
11,0,19.0,0,0,0,0,0,0,0,0,0,0,0,4.1,0.0,1.0
3,0,277.0,9,1,1,0,1,1,1,0,1,0,0,0.3,0.5294117647058824,0.47058823529411764
13,0,28.0,0,0,0,0,0,0,0,0,0,0,0,3.1,0.0,1.0
10,0,148.0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.0,1.0
20,0,302.0,9,0,1,1,0,1,1,1,0,1,0,0.1,0.5,0.5
14,0,40.0,1,0,0,0,0,0,0,0,0,0,0,4.6,0.07692307692307693,0.9230769230769231
9,0,158.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,1.0
19,0,0.0,0,0,0,0,,,,,,,,,0.0,1.0
5,0,42.0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.0,1.0
2,1,0.0,5,0,0,0,0,0,0,0,1,0,0,1.0,0.25,0.75
1,0,345.0,2,0,0,0,0,0,0,0,0,0,1,1.2,0.11764705882352941,0.8823529411764706
16,0,19.0,0,0,0,0,0,0,0,0,0,0,0,3.8,0.0,1.0
3,0,280.0,0,0,0,0,0,0,0,0,0,0,0,-0.8,0.0,1.0
7,0,83.0,0,0,0,0,0,0,0,0,0,0,0,-0.7,0.0,1.0
17,0,200.0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.0,1.0
4,0,193.0,2,1,0,0,1,0,0,0,0,0,0,3.4,0.18181818181818182,0.8181818181818182
6,0,13.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
11,0,8.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,1.0
8,0,94.0,0,0,0,0,0,0,0,0,0,0,0,3.2,0.0,1.0
15,0,28.0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.0,1.0
2,0,317.0,9,0,0,1,1,0,1,1,1,0,1,1.3,0.47368421052631576,0.5263157894736842
10,0,168.0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.0,1.0
17,0,0.0,0,0,0,0,0,,,,,,,,0.0,1.0
8,0,43.0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0,1.0
3,0,0.0,5,1,0,0,0,0,0,0,0,1,0,1.3,0.29411764705882354,0.7058823529411765
1,1,363.0,3,0,0,0,0,0,0,0,0,0,0,1.1,0.1111111111111111,0.8888888888888888
5,0,305.0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.0,1.0
15,0,19.0,0,0,0,0,0,0,0,0,0,0,0,3.3,0.0,1.0
14,0,17.0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.0,1.0
9,0,5.0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0,1.0
11,0,13.0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.0,1.0
7,0,87.0,0,0,0,0,0,0,0,0,0,0,0,-0.8,0.0,1.0
16,0,8.0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.0,1.0
