grid,positionText,current_standings_position,current_wins,last_1,last_2,last_3,last_4,last_5,last_6,last_7,last_8,last_9,last_10,propensity_tight_0,propensity_tight_1,propensity_tight_2,propensity_tight_3,propensity_winner_1,propensity_winner_0
13,0,9,0,0,0,0,0,0,0,,,,,1.0,0.0,0.0,0.0,0.0,1.0
18,0,13,0,0,0,0,0,0,0,,,,,1.0,0.0,0.0,0.0,0.0,1.0
4,0,4,0,2,0,3,0,0,0,,,,,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,1.0
5,0,6,0,0,0,0,0,3,0,,,,,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,1.0
11,0,15,0,0,0,0,0,0,0,,,,,1.0,0.0,0.0,0.0,0.0,1.0
15,0,17,0,0,0,0,0,0,0,,,,,1.0,0.0,0.0,0.0,0.0,1.0
19,0,18,0,0,0,0,0,0,0,,,,,1.0,0.0,0.0,0.0,0.0,1.0
8,3,12,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,1.0
12,0,13,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,1.0
5,0,6,0,0,0,0,0,0,3,0,,,,0.8571428571428571,0.0,0.0,0.14285714285714285,0.0,1.0
9,0,10,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,1.0
6,0,7,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,1.0
15,0,9,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,1.0
11,0,16,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,1.0
3,0,5,0,0,2,0,3,0,0,0,,,,0.7142857142857143,0.0,0.14285714285714285,0.14285714285714285,0.0,1.0
13,0,11,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,1.0
20,0,18,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,1.0
17,0,19,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,1.0
2,2,3,1,2,0,0,1,3,0,3,,,,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.16666666666666666,0.8333333333333334
4,0,1,3,0,1,2,2,1,2,1,,,,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0,0.3333333333333333,0.6666666666666666
16,0,14,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,1.0
10,1,4,1,3,3,3,0,0,0,0,,,,0.5714285714285714,0.0,0.0,0.42857142857142855,0.0,1.0
